key,locale,value,type,section,parent
nav.home,pt,Início,text,Navegação,
nav.home,en,Home,text,Navegação,
nav.home,fr,Accueil,text,Navegação,
nav.eps_exterior,pt,EPS Exterior,text,Navegação,
nav.eps_exterior,en,EPS Exterior,text,Navegação,
nav.eps_exterior,fr,EPS Exterior,text,Navegação,
nav.eps_interior,pt,EPS Interior,text,Navegação,
nav.eps_interior,en,EPS Interior,text,Navegação,
nav.eps_interior,fr,EPS Interior,text,Navegação,
nav.metal,pt,Perfis Metálicos,text,Navegação,
nav.metal,en,Metal Profiles,text,Navegação,
nav.metal,fr,Profilés métalliques,text,Navegação,
nav.projects,pt,Obras,text,Navegação,
nav.projects,en,Projects,text,Navegação,
nav.projects,fr,Chantiers,text,Navegação,
nav.company,pt,Empresa,text,Navegação,
nav.company,en,Company,text,Navegação,
nav.company,fr,Entreprise,text,Navegação,
nav.downloads,pt,Downloads,text,Navegação,
nav.downloads,en,Downloads,text,Navegação,
nav.downloads,fr,Téléchargements,text,Navegação,
nav.contacts,pt,Contactos,text,Navegação,
nav.contacts,en,Contacts,text,Navegação,
nav.contacts,fr,Contacts,text,Navegação,
nav.cta,pt,Solicitar Orçamento,text,Navegação,
nav.cta,en,Request a Quote,text,Navegação,
nav.cta,fr,Demander un devis,text,Navegação,
hero.tagline,pt,Vila Verde, Portugal · Desde 2016,text,Hero,Homepage
hero.tagline,en,Vila Verde, Portugal · Since 2016,text,Hero,Homepage
hero.tagline,fr,Vila Verde, Portugal · Depuis 2016,text,Hero,Homepage
hero.description,pt,"Soluções em EPS e Perfis Metálicos para construção nova e reabilitação de edifícios. Fabricação nacional, certificação europeia.",text,Hero,Homepage
hero.description,en,"EPS and metal profile solutions for new construction and building renovation. Made in Portugal, European certification.",text,Hero,Homepage
hero.description,fr,"Solutions en EPS et profilés métalliques pour la construction neuve et la réhabilitation. Fabrication portugaise, certification européenne.",text,Hero,Homepage
hero.cta_primary,pt,Ver Soluções,text,Hero,Homepage
hero.cta_primary,en,View Solutions,text,Hero,Homepage
hero.cta_primary,fr,Voir les solutions,text,Hero,Homepage
hero.cta_secondary,pt,Catálogo PDF,text,Hero,Homepage
hero.cta_secondary,en,PDF Catalogue,text,Hero,Homepage
hero.cta_secondary,fr,Catalogue PDF,text,Hero,Homepage
stats.1.value,pt,2016,number,Stats,Homepage
stats.1.label,pt,Fundação,text,Stats,Homepage
stats.1.label,en,Founded,text,Stats,Homepage
stats.1.label,fr,Fondation,text,Stats,Homepage
stats.1.sublabel,pt,Vila Verde, Braga,text,Stats,Homepage
stats.1.sublabel,en,Vila Verde, Braga,text,Stats,Homepage
stats.1.sublabel,fr,Vila Verde, Braga,text,Stats,Homepage
stats.2.value,pt,18+,number,Stats,Homepage
stats.2.label,pt,Produtos EPS,text,Stats,Homepage
stats.2.label,en,EPS Products,text,Stats,Homepage
stats.2.label,fr,Produits EPS,text,Stats,Homepage
stats.2.sublabel,pt,Exterior & Interior,text,Stats,Homepage
stats.2.sublabel,en,Exterior & Interior,text,Stats,Homepage
stats.2.sublabel,fr,Extérieur & Intérieur,text,Stats,Homepage
stats.3.value,pt,500+,number,Stats,Homepage
stats.3.label,pt,Projetos,text,Stats,Homepage
stats.3.label,en,Projects,text,Stats,Homepage
stats.3.label,fr,Projets,text,Stats,Homepage
stats.3.sublabel,pt,Portugal · Espanha · França,text,Stats,Homepage
stats.3.sublabel,en,Portugal · Spain · France,text,Stats,Homepage
stats.3.sublabel,fr,Portugal · Espagne · France,text,Stats,Homepage
stats.4.value,pt,CE,text,Stats,Homepage
stats.4.label,pt,Certificação,text,Stats,Homepage
stats.4.label,en,Certification,text,Stats,Homepage
stats.4.label,fr,Certification,text,Stats,Homepage
stats.4.sublabel,pt,Declaração de Desempenho,text,Stats,Homepage
stats.4.sublabel,en,Declaration of Performance,text,Stats,Homepage
stats.4.sublabel,fr,Déclaration de performance,text,Stats,Homepage
eps_exterior.eyebrow,pt,Linha de Produto,text,EPS Exterior,Homepage
eps_exterior.eyebrow,en,Product Line,text,EPS Exterior,Homepage
eps_exterior.eyebrow,fr,Gamme de produits,text,EPS Exterior,Homepage
eps_exterior.title,pt,EPS Exterior,text,EPS Exterior,Homepage
eps_exterior.title,en,EPS Exterior,text,EPS Exterior,Homepage
eps_exterior.title,fr,EPS Exterior,text,EPS Exterior,Homepage
eps_exterior.description,pt,"Fachadas inovadoras com molduras leves de poliestireno expandido. Fácil aplicação, elevada durabilidade e versatilidade decorativa para qualquer obra.",text,EPS Exterior,Homepage
eps_exterior.description,en,"Innovative façades with lightweight expanded-polystyrene mouldings. Easy installation, high durability and decorative versatility for any project.",text,EPS Exterior,Homepage
eps_exterior.description,fr,"Des façades innovantes avec des moulures légères en polystyrène expansé. Pose facile, grande durabilité et polyvalence décorative pour tout chantier.",text,EPS Exterior,Homepage
eps_exterior.item.1,pt,Bandas decorativas,text,EPS Exterior,Homepage
eps_exterior.item.1,en,Decorative bands,text,EPS Exterior,Homepage
eps_exterior.item.1,fr,Bandeaux décoratifs,text,EPS Exterior,Homepage
eps_exterior.item.2,pt,Cornijas e entablamentos,text,EPS Exterior,Homepage
eps_exterior.item.2,en,Cornices and entablatures,text,EPS Exterior,Homepage
eps_exterior.item.2,fr,Corniches et entablements,text,EPS Exterior,Homepage
eps_exterior.item.3,pt,Colunas e pilastras,text,EPS Exterior,Homepage
eps_exterior.item.3,en,Columns and pilasters,text,EPS Exterior,Homepage
eps_exterior.item.3,fr,Colonnes et pilastres,text,EPS Exterior,Homepage
eps_exterior.item.4,pt,Peitoris de janela,text,EPS Exterior,Homepage
eps_exterior.item.4,en,Window sills,text,EPS Exterior,Homepage
eps_exterior.item.4,fr,Appuis de fenêtre,text,EPS Exterior,Homepage
eps_exterior.cta,pt,Ver todos os produtos,text,EPS Exterior,Homepage
eps_exterior.cta,en,View all products,text,EPS Exterior,Homepage
eps_exterior.cta,fr,Voir tous les produits,text,EPS Exterior,Homepage
eps_interior.eyebrow,pt,Linha de Produto,text,EPS Interior,Homepage
eps_interior.eyebrow,en,Product Line,text,EPS Interior,Homepage
eps_interior.eyebrow,fr,Gamme de produits,text,EPS Interior,Homepage
eps_interior.title,pt,EPS Interior,text,EPS Interior,Homepage
eps_interior.title,en,EPS Interior,text,EPS Interior,Homepage
eps_interior.title,fr,EPS Interior,text,EPS Interior,Homepage
eps_interior.description,pt,"Molduras interiores que transformam espaços residenciais e comerciais com elegância. Instalação simples, acabamento refinado, sem obras disruptivas.",text,EPS Interior,Homepage
eps_interior.description,en,"Interior mouldings that elegantly transform residential and commercial spaces. Simple installation, refined finish, no disruptive works.",text,EPS Interior,Homepage
eps_interior.description,fr,"Des moulures intérieures qui transforment avec élégance les espaces résidentiels et commerciaux. Pose simple, finition raffinée, sans travaux lourds.",text,EPS Interior,Homepage
eps_interior.item.1,pt,Rodatetos e molduras de teto,text,EPS Interior,Homepage
eps_interior.item.1,en,Crown and ceiling mouldings,text,EPS Interior,Homepage
